"","borough","year","party","seats","leader","clerk","control"
"105.1","Barnet",2013,"Conservative",38,"Richard Cornelius","Andrew Travers","Conservative"
"105.2","Barnet",2013,"Labour Party",22,"Richard Cornelius","Andrew Travers","Conservative"
"105.3","Barnet",2013,"Liberal Democrats",3,"Richard Cornelius","Andrew Travers","Conservative"
"106.1","Barnet",2014,"Conservative",32,"Richard Cornelius","Andrew Travers","Conservative"
"106.2","Barnet",2014,"Labour Party",30,"Richard Cornelius","Andrew Travers","Conservative"
"106.3","Barnet",2014,"Liberal Democrats",1,"Richard Cornelius","Andrew Travers","Conservative"
"107.1","Barnet",2015,"Conservative",32,"Richard Cornelius","Andrew Travers","Conservative"
"107.2","Barnet",2015,"Labour Party",30,"Richard Cornelius","Andrew Travers","Conservative"
"107.3","Barnet",2015,"Liberal Democrats",1,"Richard Cornelius","Andrew Travers","Conservative"
"108.1","Barnet",2016,"Conservative",32,"Richard Cornelius","Andrew Travers","Conservative"
"108.2","Barnet",2016,"Labour Party",30,"Richard Cornelius","Andrew Travers","Conservative"
"108.3","Barnet",2016,"Liberal Democrats",1,"Richard Cornelius","Andrew Travers","Conservative"
"109.1","Barnet",2017,"Conservative",32,"Richard Cornelius","John Hooton","Conservative"
"109.2","Barnet",2017,"Labour Party",30,"Richard Cornelius","John Hooton","Conservative"
"109.3","Barnet",2017,"Liberal Democrats",1,"Richard Cornelius","John Hooton","Conservative"
"110.1","Barnet",2018,"Conservative",38,"Daniel Thomas","John Hooton","Conservative"
"110.2","Barnet",2018,"Labour Party",25,"Daniel Thomas","John Hooton","Conservative"
"111.1","Bexley",1964,"Labour Party",39,"Jim Wellbeloved","Clive Dennis","Labour"
"111.2","Bexley",1964,"Conservative",17,"Jim Wellbeloved","Clive Dennis","Labour"
"112.1","Bexley",1965,"Labour Party",39,"Jim Wellbeloved","Clive Dennis","Labour"
"112.2","Bexley",1965,"Conservative",17,"Jim Wellbeloved","Clive Dennis","Labour"
"113.1","Bexley",1966,"Labour Party",39,"Peter Maxwell","Clive Dennis","Labour"
"113.2","Bexley",1966,"Conservative",17,"Peter Maxwell","Clive Dennis","Labour"
"114.1","Bexley",1967,"Labour Party",39,"Peter Maxwell","Clive Dennis","Labour"
"114.2","Bexley",1967,"Conservative",17,"Peter Maxwell","Clive Dennis","Labour"
"115.1","Bexley",1968,"Conservative",55,"Frederick Brearley","Clive Dennis","Conservative"
"115.2","Bexley",1968,"Independent",1,"Frederick Brearley","Clive Dennis","Conservative"
"116.1","Bexley",1969,"Conservative",55,"Frederick Brearley","Clive Dennis","Conservative"
"116.2","Bexley",1969,"Independent",1,"Frederick Brearley","Clive Dennis","Conservative"
"117.1","Bexley",1970,"Conservative",55,"Frederick Brearley","Clive Dennis","Conservative"
"117.2","Bexley",1970,"Independent",1,"Frederick Brearley","Clive Dennis","Conservative"
"118.1","Bexley",1971,"Labour Party",32,"Peter Maxwell","Clive Dennis","Labour"
"118.2","Bexley",1971,"Conservative",24,"Peter Maxwell","Clive Dennis","Labour"
"119.1","Bexley",1972,"Labour Party",32,"Peter Maxwell","Ernest Michael Bennett","Labour"
"119.2","Bexley",1972,"Conservative",24,"Peter Maxwell","Ernest Michael Bennett","Labour"
"120.1","Bexley",1973,"Labour Party",32,"Peter Maxwell","Ernest Michael Bennett","Labour"
"120.2","Bexley",1973,"Conservative",24,"Peter Maxwell","Ernest Michael Bennett","Labour"
"121.1","Bexley",1974,"Conservative",37,"Julian Tremayne","Ernest Michael Bennett","Conservative"
"121.2","Bexley",1974,"Labour Party",22,"Julian Tremayne","Ernest Michael Bennett","Conservative"
"122.1","Bexley",1975,"Conservative",37,"Julian Tremayne","Terrence Musgrave","Conservative"
"122.2","Bexley",1975,"Labour Party",22,"Julian Tremayne","Terrence Musgrave","Conservative"
"123.1","Bexley",1976,"Conservative",37,"Julian Tremayne","Terrence Musgrave","Conservative"
"123.2","Bexley",1976,"Labour Party",22,"Julian Tremayne","Terrence Musgrave","Conservative"
"124.1","Bexley",1977,"Conservative",37,"Julian Tremayne","Terrence Musgrave","Conservative"
"124.2","Bexley",1977,"Labour Party",22,"Julian Tremayne","Terrence Musgrave","Conservative"
"125.1","Bexley",1978,"Conservative",43,"Leonard Newton","Terrence Musgrave","Conservative"
"125.2","Bexley",1978,"Labour Party",18,"Leonard Newton","Terrence Musgrave","Conservative"
"125.3","Bexley",1978,"Independent",1,"Leonard Newton","Terrence Musgrave","Conservative"
"126.1","Bexley",1979,"Conservative",43,"Leonard Newton","Terrence Musgrave","Conservative"
"126.2","Bexley",1979,"Labour Party",18,"Leonard Newton","Terrence Musgrave","Conservative"
"126.3","Bexley",1979,"Independent",1,"Leonard Newton","Terrence Musgrave","Conservative"
"127.1","Bexley",1980,"Conservative",43,"Leonard Newton","Terrence Musgrave","Conservative"
"127.2","Bexley",1980,"Labour Party",18,"Leonard Newton","Terrence Musgrave","Conservative"
"127.3","Bexley",1980,"Independent",1,"Leonard Newton","Terrence Musgrave","Conservative"
"128.1","Bexley",1981,"Conservative",43,"Leonard Newton","Terrence Musgrave","Conservative"
"128.2","Bexley",1981,"Labour Party",18,"Leonard Newton","Terrence Musgrave","Conservative"
"128.3","Bexley",1981,"Independent",1,"Leonard Newton","Terrence Musgrave","Conservative"
"129.1","Bexley",1982,"Conservative",41,"Leonard Newton","Terrence Musgrave","Conservative"
"129.2","Bexley",1982,"Labour Party",14,"Leonard Newton","Terrence Musgrave","Conservative"
"129.3","Bexley",1982,"Liberal Democrats",7,"Leonard Newton","Terrence Musgrave","Conservative"
"130.1","Bexley",1983,"Conservative",41,"Leonard Newton","Terrence Musgrave","Conservative"
"130.2","Bexley",1983,"Labour Party",14,"Leonard Newton","Terrence Musgrave","Conservative"
"130.3","Bexley",1983,"Liberal Democrats",7,"Leonard Newton","Terrence Musgrave","Conservative"
"131.1","Bexley",1984,"Conservative",41,"Leonard Newton","Terrence Musgrave","Conservative"
"131.2","Bexley",1984,"Labour Party",14,"Leonard Newton","Terrence Musgrave","Conservative"
"131.3","Bexley",1984,"Liberal Democrats",7,"Leonard Newton","Terrence Musgrave","Conservative"
"132.1","Bexley",1985,"Conservative",41,"Leonard Newton","Terrence Musgrave","Conservative"
"132.2","Bexley",1985,"Labour Party",14,"Leonard Newton","Terrence Musgrave","Conservative"
"132.3","Bexley",1985,"Liberal Democrats",7,"Leonard Newton","Terrence Musgrave","Conservative"
"133.1","Bexley",1986,"Conservative",36,"Leonard Newton","Terrence Musgrave","Conservative"
"133.2","Bexley",1986,"Labour Party",15,"Leonard Newton","Terrence Musgrave","Conservative"
"133.3","Bexley",1986,"Liberal Democrats",11,"Leonard Newton","Terrence Musgrave","Conservative"
"134.1","Bexley",1987,"Conservative",36,"Leonard Newton","Terrence Musgrave","Conservative"
"134.2","Bexley",1987,"Labour Party",15,"Leonard Newton","Terrence Musgrave","Conservative"
"134.3","Bexley",1987,"Liberal Democrats",11,"Leonard Newton","Terrence Musgrave","Conservative"
"135.1","Bexley",1988,"Conservative",36,"Leonard Newton","Terrence Musgrave","Conservative"
"135.2","Bexley",1988,"Labour Party",15,"Leonard Newton","Terrence Musgrave","Conservative"
"135.3","Bexley",1988,"Liberal Democrats",11,"Leonard Newton","Terrence Musgrave","Conservative"
"136.1","Bexley",1989,"Conservative",36,"Leonard Newton","Terrence Musgrave","Conservative"
"136.2","Bexley",1989,"Labour Party",15,"Leonard Newton","Terrence Musgrave","Conservative"
"136.3","Bexley",1989,"Liberal Democrats",11,"Leonard Newton","Terrence Musgrave","Conservative"
"137.1","Bexley",1990,"Conservative",35,"Leonard Newton","Terrence Musgrave","Conservative"
"137.2","Bexley",1990,"Labour Party",18,"Leonard Newton","Terrence Musgrave","Conservative"
"137.3","Bexley",1990,"Social & Liberal Democrats",9,"Leonard Newton","Terrence Musgrave","Conservative"
"138.1","Bexley",1991,"Conservative",35,"Leonard Newton","Terrence Musgrave","Conservative"
"138.2","Bexley",1991,"Labour Party",18,"Leonard Newton","Terrence Musgrave","Conservative"
"138.3","Bexley",1991,"Social & Liberal Democrats",9,"Leonard Newton","Terrence Musgrave","Conservative"
"139.1","Bexley",1992,"Conservative",35,"Leonard Newton","Terrence Musgrave","Conservative"
"139.2","Bexley",1992,"Labour Party",18,"Leonard Newton","Terrence Musgrave","Conservative"
"139.3","Bexley",1992,"Social & Liberal Democrats",9,"Leonard Newton","Terrence Musgrave","Conservative"
"140.1","Bexley",1993,"Conservative",34,"Leonard Newton","Terrence Musgrave","Conservative"
"140.2","Bexley",1993,"Labour Party",18,"Leonard Newton","Terrence Musgrave","Conservative"
"140.3","Bexley",1993,"Liberal Democrats",8,"Leonard Newton","Terrence Musgrave","Conservative"
"140.4","Bexley",1993,"Social & Liberal Democrats",1,"Leonard Newton","Terrence Musgrave","Conservative"
"140.5","Bexley",1993,"Independent",1,"Leonard Newton","Terrence Musgrave","Conservative"
"141.1","Bexley",1994,"Conservative",24,"Donna BriantChair, policy committee
Group leaders:
K McAndrew (Con)
Donna Briant (Lab)
BC Standen (Lib Dem)","Terrence Musgrave","No Overall ControlLabour minority"
"141.2","Bexley",1994,"Labour Party",24,"Donna BriantChair, policy committee
Group leaders:
K McAndrew (Con)
Donna Briant (Lab)
BC Standen (Lib Dem)","Terrence Musgrave","No Overall ControlLabour minority"
"141.3","Bexley",1994,"Liberal Democrats",14,"Donna BriantChair, policy committee
Group leaders:
K McAndrew (Con)
Donna Briant (Lab)
BC Standen (Lib Dem)","Terrence Musgrave","No Overall ControlLabour minority"
"142.1","Bexley",1995,"Conservative",24,"Donna BriantChair, policy and resources committee
Group leaders:
MA Slaughter (Con)
Donna Briant (Lab)
BC Standen (Lib Dem)","Chris Duffield","No Overall ControlLabour minority"
"142.2","Bexley",1995,"Labour Party",24,"Donna BriantChair, policy and resources committee
Group leaders:
MA Slaughter (Con)
Donna Briant (Lab)
BC Standen (Lib Dem)","Chris Duffield","No Overall ControlLabour minority"
"142.3","Bexley",1995,"Liberal Democrats",14,"Donna BriantChair, policy and resources committee
Group leaders:
MA Slaughter (Con)
Donna Briant (Lab)
BC Standen (Lib Dem)","Chris Duffield","No Overall ControlLabour minority"
"143.1","Bexley",1996,"Conservative",24,"Kathryn SmithChair, policy and resources committee
Group leaders:
Lab - Kathryn Smith
Con - MA Slaughter
Lib Dem - BC Standen","Chris Duffield","No Overall ControlLabour minority"
"143.2","Bexley",1996,"Labour Party",24,"Kathryn SmithChair, policy and resources committee
Group leaders:
Lab - Kathryn Smith
Con - MA Slaughter
Lib Dem - BC Standen","Chris Duffield","No Overall ControlLabour minority"
"143.3","Bexley",1996,"Liberal Democrats",14,"Kathryn SmithChair, policy and resources committee
Group leaders:
Lab - Kathryn Smith
Con - MA Slaughter
Lib Dem - BC Standen","Chris Duffield","No Overall ControlLabour minority"
"144.1","Bexley",1997,"Conservative",24,"Kathryn SmithCommittees chaired in rotation
Group leaders:
MA Slaughter (Con)
Kathryn Smith (Lab)
BC Standen (Lib Dem)","Chris Duffield","No Overall ControlLabour minority"
"144.2","Bexley",1997,"Labour Party",24,"Kathryn SmithCommittees chaired in rotation
Group leaders:
MA Slaughter (Con)
Kathryn Smith (Lab)
BC Standen (Lib Dem)","Chris Duffield","No Overall ControlLabour minority"
"144.3","Bexley",1997,"Liberal Democrats",14,"Kathryn SmithCommittees chaired in rotation
Group leaders:
MA Slaughter (Con)
Kathryn Smith (Lab)
BC Standen (Lib Dem)","Chris Duffield","No Overall ControlLabour minority"
"145.1","Bexley",1998,"Conservative",32,"Michael Slaughter","Chris Duffield","Conservative"
"145.2","Bexley",1998,"Labour Party",24,"Michael Slaughter","Chris Duffield","Conservative"
"145.3","Bexley",1998,"Liberal Democrats",6,"Michael Slaughter","Chris Duffield","Conservative"
"146.1","Bexley",1999,"Conservative",32,"Michael Slaughter","Chris Duffield","Conservative"
"146.2","Bexley",1999,"Labour Party",24,"Michael Slaughter","Chris Duffield","Conservative"
"146.3","Bexley",1999,"Liberal Democrats",6,"Michael Slaughter","Chris Duffield","Conservative"
"147.1","Bexley",2000,"Conservative",32,"Michael Slaughter","Chris Duffield","Conservative"
"147.2","Bexley",2000,"Labour Party",23,"Michael Slaughter","Chris Duffield","Conservative"
"147.3","Bexley",2000,"Liberal Democrats",6,"Michael Slaughter","Chris Duffield","Conservative"
"147.4","Bexley",2000,"Vacancies",1,"Michael Slaughter","Chris Duffield","Conservative"
"148.1","Bexley",2001,"Conservative",32,"Michael Slaughter","Chris Duffield","Conservative"
"148.2","Bexley",2001,"Labour Party",24,"Michael Slaughter","Chris Duffield","Conservative"
"148.3","Bexley",2001,"Liberal Democrats",6,"Michael Slaughter","Chris Duffield","Conservative"
"149.1","Bexley",2002,"Labour Party",32,"Chris Ball","Chris Duffield","Labour"
"149.2","Bexley",2002,"Conservative",30,"Chris Ball","Chris Duffield","Labour"
"149.3","Bexley",2002,"Liberal Democrats",1,"Chris Ball","Chris Duffield","Labour"
"150.1","Bexley",2003,"Labour Party",32,"Chris Ball","Nick Johnson","Labour"
"150.2","Bexley",2003,"Conservative",30,"Chris Ball","Nick Johnson","Labour"
"150.3","Bexley",2003,"Liberal Democrats",1,"Chris Ball","Nick Johnson","Labour"
"151.1","Bexley",2004,"Labour Party",32,"Chris Ball","Nick Johnson","Labour"
"151.2","Bexley",2004,"Conservative",30,"Chris Ball","Nick Johnson","Labour"
"151.3","Bexley",2004,"Liberal Democrats",1,"Chris Ball","Nick Johnson","Labour"
"152.1","Bexley",2005,"Labour Party",32,"Chris Ball","Nick Johnson","Labour"
"152.2","Bexley",2005,"Conservative",30,"Chris Ball","Nick Johnson","Labour"
"152.3","Bexley",2005,"Liberal Democrats",1,"Chris Ball","Nick Johnson","Labour"
"153.1","Bexley",2006,"Conservative",54,"Ian Clement","Nick Johnson","Conservative"
"153.2","Bexley",2006,"Labour Party",9,"Ian Clement","Nick Johnson","Conservative"
"154.1","Bexley",2007,"Conservative",54,"Ian Clement","Nick Johnson","Conservative"
"154.2","Bexley",2007,"Labour Party",9,"Ian Clement","Nick Johnson","Conservative"
"155.1","Bexley",2008,"Conservative",54,"Teresa O'Neill","Will Tuckley","Conservative"
"155.2","Bexley",2008,"Labour Party",9,"Teresa O'Neill","Will Tuckley","Conservative"
"156.1","Bexley",2009,"Conservative",54,"Teresa O'Neill","Will Tuckley","Conservative"
"156.2","Bexley",2009,"Labour Party",8,"Teresa O'Neill","Will Tuckley","Conservative"
"156.3","Bexley",2009,"Green Party",1,"Teresa O'Neill","Will Tuckley","Conservative"
"157.1","Bexley",2010,"Conservative",52,"Teresa O'Neill","Will Tuckley","Conservative"
"157.2","Bexley",2010,"Labour Party",11,"Teresa O'Neill","Will Tuckley","Conservative"
"158.1","Bexley",2011,"Conservative",52,"Teresa O'Neill","Will Tuckley","Conservative"
"158.2","Bexley",2011,"Labour Party",11,"Teresa O'Neill","Will Tuckley","Conservative"
"159.1","Bexley",2012,"Conservative",52,"Teresa O'Neill","Will Tuckley","Conservative"
"159.2","Bexley",2012,"Labour Party",11,"Teresa O'Neill","Will Tuckley","Conservative"
"160.1","Bexley",2013,"Conservative",52,"Teresa O'Neill","Will Tuckley","Conservative"
"160.2","Bexley",2013,"Labour Party",11,"Teresa O'Neill","Will Tuckley","Conservative"
"161.1","Bexley",2014,"Conservative",45,"Teresa O'Neill","Will Tuckley","Conservative"
"161.2","Bexley",2014,"Labour Party",15,"Teresa O'Neill","Will Tuckley","Conservative"
"162.1","Bexley",2015,"Conservative",45,"Teresa O'Neill","Will Tuckley","Conservative"
"162.2","Bexley",2015,"Labour Party",15,"Teresa O'Neill","Will Tuckley","Conservative"
"162.3","Bexley",2015,"UK Independence Party",3,"Teresa O'Neill","Will Tuckley","Conservative"
"163.1","Bexley",2016,"Conservative",45,"Teresa O'Neill","Gil Steward","Conservative"
"163.2","Bexley",2016,"Labour Party",15,"Teresa O'Neill","Gil Steward","Conservative"
"164.1","Bexley",2017,"Conservative",45,"Teresa O'Neill","Gil Steward","Conservative"
"164.2","Bexley",2017,"Labour Party",15,"Teresa O'Neill","Gil Steward","Conservative"
"164.3","Bexley",2017,"UK Independence Party",3,"Teresa O'Neill","Gil Steward","Conservative"
"165.1","Bexley",2018,"Conservative",34,"Theresa O'Neill","Jackie Belton","Conservative"
"165.2","Bexley",2018,"Labour Party",11,"Theresa O'Neill","Jackie Belton","Conservative"
"166.1","Brent",1964,"Labour Party",34,"Reg Freeson","RS Forster","Labour"
"166.2","Brent",1964,"Conservative",26,"Reg Freeson","RS Forster","Labour"
"167.1","Brent",1965,"Labour Party",34,"John Hockey","RS Forster","Labour"
"167.2","Brent",1965,"Conservative",26,"John Hockey","RS Forster","Labour"
"168.1","Brent",1966,"Labour Party",34,"John Hockey","RS Forster","Labour"
"168.2","Brent",1966,"Conservative",26,"John Hockey","RS Forster","Labour"
"169.1","Brent",1967,"Labour Party",34,"George Marshall","RS Forster","Labour"
"169.2","Brent",1967,"Conservative",26,"George Marshall","RS Forster","Labour"
"170.1","Brent",1968,"Conservative",49,"Alderman Edwin","RS Forster","Conservative"
"170.2","Brent",1968,"Labour Party",11,"Alderman Edwin","RS Forster","Conservative"
"171.1","Brent",1969,"Conservative",49,"Alderman Edwin","RS Forster","Conservative"
"171.2","Brent",1969,"Labour Party",11,"Alderman Edwin","RS Forster","Conservative"
"172.1","Brent",1970,"Conservative",49,"Alderman Edwin","RS Forster","Conservative"
"172.2","Brent",1970,"Labour Party",11,"Alderman Edwin","RS Forster","Conservative"
"173.1","Brent",1971,"Labour Party",38,"P Hartley","RS Forster","Labour"
"173.2","Brent",1971,"Conservative",22,"P Hartley","RS Forster","Labour"
"174.1","Brent",1972,"Labour Party",38,"P Hartley","RS Forster","Labour"
"174.2","Brent",1972,"Conservative",22,"P Hartley","RS Forster","Labour"
"175.1","Brent",1973,"Labour Party",38,"P Hartley","RS Forster","Labour"
"175.2","Brent",1973,"Conservative",22,"P Hartley","RS Forster","Labour"
"176.1","Brent",1974,"Labour Party",35,"P Hartley","Kenneth Betts","Labour"
"176.2","Brent",1974,"Conservative",24,"P Hartley","Kenneth Betts","Labour"
"177.1","Brent",1975,"Labour Party",35,"P Hartley","Kenneth Betts","Labour"
"177.2","Brent",1975,"Conservative",24,"P Hartley","Kenneth Betts","Labour"
"178.1","Brent",1976,"Labour Party",35,"P Hartley","Kenneth Betts","Labour"
"178.2","Brent",1976,"Conservative",24,"P Hartley","Kenneth Betts","Labour"
"179.1","Brent",1977,"Labour Party",35,"James Goudie","Kenneth Betts","Labour"
